tarih,vardiya,makine_id,sicaklik,basinc,titreşim,uretim_hizi,operator_tecrube,kullanim_süresi,rulman_degisimi_sonrasi,hata_var
2021-03-18,Akşam,5,85.69,1.6,0.41,1069,3,7,0,0
2021-03-19,Gece,2,80.32,1.53,0.54,1386,5,11,0,0
2021-03-20,Gece,2,80.54,2.65,0.53,1523,3,8,0,0
2021-03-21,Akşam,3,80.8,2.55,0.58,1296,5,8,0,0
2021-03-22,Gece,1,87.98,1.97,0.6,1616,2,8,0,0
2021-03-23,Gündüz,5,78.45,2.02,0.67,1718,2,7,0,0
2021-03-24,Akşam,3,82.35,1.56,0.57,2088,3,9,0,0
2021-03-25,Gündüz,4,83.08,1.44,0.55,1177,4,6,0,0
2021-03-26,Gündüz,4,81.75,1.7,0.51,2031,4,8,0,0
2021-03-27,Akşam,3,78.26,1.8,0.49,2182,1,7,0,0
2021-03-28,Gece,5,80.6,2.01,0.59,1010,2,9,0,0
2021-03-29,Gündüz,3,79.53,1.25,0.54,1784,2,8,0,0
2021-03-30,Akşam,5,89.8,2.44,0.57,1410,4,8,0,0
2021-03-31,Gündüz,2,77.71,1.87,0.55,1891,3,6,0,0
2021-04-01,Gündüz,3,75.44,1.33,0.55,1606,1,11,0,0
2021-04-02,Gündüz,5,79.97,1.85,0.56,1154,2,6,0,0
2021-04-03,Gündüz,3,79.62,1.53,0.57,2229,1,10,0,0
2021-04-04,Gece,3,80.98,1.51,0.59,2138,2,11,0,0
2021-04-05,Gündüz,5,77.71,1.48,0.49,2402,5,11,0,0
2021-04-06,Gündüz,5,80.55,1.72,0.58,1598,5,11,0,0
2021-04-07,Gündüz,1,80.65,2.43,0.48,1823,1,8,0,0
2021-04-08,Gece,3,84.53,1.83,0.58,1349,4,10,0,0
2021-04-09,Gündüz,4,80.47,2.01,0.57,2121,4,7,0,0
2021-04-10,Gündüz,3,80.51,2.08,0.55,1942,2,6,0,0
2021-04-11,Gece,3,82.58,1.76,0.55,1018,5,11,0,0
2021-04-12,Gece,5,84.34,1.45,0.56,1312,5,11,0,0
2021-04-13,Gece,3,75.08,1.32,0.61,1926,1,9,0,0
2021-04-14,Gündüz,3,73.74,1.68,0.6,1527,1,8,0,0
2021-04-15,Gece,4,88.48,2.14,0.6,1556,4,8,0,0
2021-04-16,Gece,5,83.52,2.08,0.49,1444,4,10,0,0
2021-04-17,Gündüz,3,78.9,1.88,0.58,1230,4,6,0,0
2021-04-18,Gece,2,80.1,1.92,0.43,1624,3,11,0,0
2021-04-19,Gündüz,1,78.04,1.76,0.45,2010,5,11,0,0
2021-04-20,Akşam,4,81.06,1.66,0.61,1888,5,10,0,0
2021-04-21,Gece,3,75.14,1.58,0.48,1358,1,8,0,0
2021-04-22,Akşam,2,84.2,1.36,0.55,2406,5,6,0,0
2021-04-23,Gündüz,3,80.88,2.34,0.63,1043,1,8,0,0
2021-04-24,Gece,3,81.06,1.85,0.59,2388,3,6,0,0
2021-04-25,Gündüz,5,75.53,1.67,0.58,1876,4,8,0,0
2021-04-26,Akşam,5,82.62,2.35,0.55,2134,3,9,0,0
2021-04-27,Gündüz,5,75.65,2.4,0.56,1222,4,11,0,0
2021-04-28,Gece,2,76.54,2.62,0.53,2409,4,10,0,0
2021-04-29,Gece,3,80.44,1.73,0.54,1901,1,6,0,0
2021-04-30,Akşam,1,92.54,1.83,0.56,2288,4,10,0,0
2021-05-01,Gündüz,4,80.86,2.0,0.57,1270,3,6,0,0
2021-05-02,Gece,5,67.16,2.3,0.55,1211,2,6,0,0
2021-05-03,Akşam,5,76.79,1.82,0.45,2337,1,11,0,0
2021-05-04,Gece,3,83.42,1.5,0.64,2410,4,6,0,0
2021-05-05,Gece,3,74.36,1.57,0.61,1246,4,8,0,0
2021-05-06,Gündüz,2,84.16,2.15,0.55,1947,5,7,0,0
2021-05-07,Gece,2,80.79,1.99,0.61,1820,1,8,0,0
2021-05-08,Gündüz,5,84.96,1.75,0.55,2373,1,7,0,0
2021-05-09,Gece,3,77.21,1.73,0.58,1071,3,11,0,0
2021-05-10,Akşam,1,76.82,1.75,0.47,2319,2,11,0,0
2021-05-11,Gece,4,82.82,2.17,0.58,2236,3,8,0,0
2021-05-12,Gündüz,3,79.96,1.56,0.55,1294,3,7,0,0
2021-05-13,Gündüz,3,79.66,1.44,0.58,1170,3,11,0,0
2021-05-14,Akşam,2,87.84,2.35,0.65,1245,2,6,0,0
2021-05-15,Gece,4,83.02,1.81,0.57,2164,3,6,0,0
2021-05-16,Gece,5,70.05,1.78,0.54,1616,1,7,0,0
2021-05-17,Akşam,3,84.0,2.0,0.55,1239,2,7,0,0
2021-05-18,Gece,5,83.49,1.5,0.5,1310,4,10,0,0
2021-05-19,Gece,3,85.92,2.03,0.59,2439,5,6,0,0
2021-05-20,Gündüz,5,75.3,1.69,0.6,1397,5,8,0,0
2021-05-21,Gece,4,81.62,2.14,0.57,1922,1,10,0,0
2021-05-22,Gece,2,80.56,1.34,0.62,1791,5,7,0,0
2021-05-23,Akşam,4,75.21,1.94,0.62,1021,5,11,0,0
2021-05-24,Akşam,1,84.73,1.73,0.57,2101,5,8,0,0
2021-05-25,Gündüz,2,78.79,1.59,0.6,1812,4,9,0,0
2021-05-26,Gece,4,85.76,2.03,0.68,1903,5,9,0,0
2021-05-27,Gece,1,76.29,1.76,0.53,2498,3,11,0,0
2021-05-28,Gece,3,72.7,1.94,0.61,1831,1,9,0,0
2021-05-29,Gündüz,3,78.79,2.18,0.58,2376,1,11,0,0
2021-05-30,Gündüz,5,81.16,2.04,0.63,2394,1,8,0,0
2021-05-31,Akşam,2,77.33,1.48,0.54,2044,4,11,0,0
2021-06-01,Gündüz,3,64.68,1.64,0.59,1506,4,7,0,0
2021-06-02,Gece,2,81.92,1.94,0.54,1159,5,8,0,0
2021-06-03,Gece,3,81.89,2.04,0.49,1743,3,10,0,0
2021-06-04,Gündüz,5,83.44,1.68,0.65,2384,5,10,0,0
2021-06-05,Gece,4,78.1,1.86,0.56,1812,1,9,0,0
2021-06-06,Gece,5,77.82,1.86,0.54,2320,3,7,0,0
2021-06-07,Gündüz,1,87.2,1.9,0.55,2375,1,10,0,0
2021-06-08,Gündüz,3,72.12,1.45,0.67,1179,3,6,0,0
2021-06-09,Gece,1,78.76,1.38,0.65,2495,2,6,0,0
2021-06-10,Gece,1,80.71,1.12,0.57,2418,4,9,0,0
2021-06-11,Gece,2,83.03,1.83,0.62,1212,4,9,0,0
2021-06-12,Akşam,3,80.85,1.39,0.53,1529,1,9,0,0
2021-06-13,Akşam,1,75.39,2.44,0.61,2418,1,10,0,0
2021-06-14,Akşam,4,85.84,2.0,0.56,1026,2,7,0,0
2021-06-15,Gündüz,1,80.01,1.45,0.6,1938,5,11,0,0
2021-06-16,Akşam,4,71.66,2.14,0.51,1869,3,11,0,0
2021-06-17,Gündüz,2,81.05,2.14,0.55,2472,2,9,0,0
2021-06-18,Gündüz,1,82.38,2.17,0.59,1437,2,8,0,0
2021-06-19,Akşam,5,89.8,1.56,0.59,1284,1,9,0,0
2021-06-20,Akşam,2,82.04,2.01,0.51,1660,1,11,0,0
2021-06-21,Akşam,4,72.59,2.17,0.54,1648,5,11,0,0
2021-06-22,Gece,2,72.77,2.27,0.61,1188,5,11,0,0
2021-06-23,Akşam,1,86.29,1.34,0.6,2222,1,10,0,0
2021-06-24,Gece,3,75.99,1.73,0.62,2125,4,7,0,0
2021-06-25,Gündüz,3,72.25,1.55,0.6,1478,5,9,0,0
2021-06-26,Gece,4,85.0,2.36,0.54,1602,2,6,0,0
2021-06-27,Akşam,4,77.62,1.95,0.57,2014,1,9,0,0
2021-06-28,Gündüz,3,84.74,2.07,0.62,2247,3,9,0,0
2021-06-29,Gündüz,4,75.43,1.94,0.54,1516,3,7,0,0
2021-06-30,Gündüz,2,87.37,1.91,0.53,2464,4,8,0,0
2021-07-01,Gece,5,84.36,1.54,0.58,1915,1,9,0,0
2021-07-02,Akşam,5,76.39,1.67,0.6,1229,2,9,0,0
2021-07-03,Gündüz,2,71.7,1.82,0.5,1868,4,11,0,0
2021-07-04,Gündüz,5,91.53,1.61,0.58,2137,2,10,0,0
2021-07-05,Gündüz,1,78.95,1.55,0.62,2207,3,7,0,0
2021-07-06,Gece,2,76.19,1.74,0.63,1758,2,10,0,0
2021-07-07,Gece,4,86.93,1.62,0.54,1033,3,11,0,0
2021-07-08,Akşam,2,84.73,1.81,0.61,1295,5,9,0,0
2021-07-09,Gece,3,85.91,1.67,0.64,1452,3,9,0,0
2021-07-10,Gündüz,4,79.51,1.59,0.63,2429,3,6,0,0
2021-07-11,Akşam,3,89.41,1.52,0.57,2150,4,10,0,0
2021-07-12,Gündüz,4,73.45,1.8,0.48,1141,4,11,0,0
2021-07-13,Gündüz,5,77.24,2.07,0.61,1647,1,7,0,0
2021-07-14,Gece,2,81.95,2.0,0.68,1127,1,9,0,0
2021-07-15,Akşam,1,85.84,1.34,0.64,1834,3,6,0,0
2021-07-16,Gece,4,83.31,2.06,0.64,1924,5,6,0,0
2021-07-17,Gece,4,79.59,1.99,0.61,1729,1,8,0,0
2021-07-18,Akşam,3,77.62,2.07,0.64,2373,3,7,0,0
2021-07-19,Gündüz,5,85.87,2.13,0.61,1462,4,6,0,0
2021-07-20,Gündüz,3,83.82,1.58,0.51,2267,1,7,0,0
2021-07-21,Akşam,3,75.63,1.71,0.65,1563,1,9,0,0
2021-07-22,Gündüz,5,75.48,2.34,0.56,2209,3,8,0,0
2021-07-23,Akşam,1,77.27,2.32,0.6,2256,3,11,0,0
2021-07-24,Akşam,3,76.63,1.78,0.64,1513,2,7,0,0
2021-07-25,Gece,3,85.15,1.98,0.57,1000,2,11,0,0
2021-07-26,Akşam,4,82.18,2.01,0.55,2262,5,8,0,0
2021-07-27,Gece,5,82.79,2.33,0.63,2078,1,11,0,0
2021-07-28,Gündüz,2,80.96,1.9,0.55,2441,2,7,0,0
2021-07-29,Gündüz,1,81.19,1.44,0.59,2471,3,11,0,0
2021-07-30,Gündüz,1,72.09,1.66,0.66,1337,1,7,0,0
2021-07-31,Gündüz,5,83.97,2.74,0.69,1907,2,10,0,0
2021-08-01,Gece,4,77.18,1.42,0.52,1817,5,8,0,0
2021-08-02,Gündüz,4,79.83,1.82,0.6,2300,5,7,0,0
2021-08-03,Akşam,5,77.63,2.49,0.67,2033,5,10,0,0
2021-08-04,Akşam,4,80.73,1.56,0.59,2364,5,10,0,0
2021-08-05,Akşam,1,82.87,0.98,0.65,2127,3,8,0,0
2021-08-06,Gece,1,74.96,1.04,0.65,1344,5,9,0,0
2021-08-07,Gündüz,2,81.26,1.56,0.58,2393,4,8,0,0
2021-08-08,Gündüz,5,77.75,1.27,0.63,1976,5,7,0,1
2021-08-09,Gündüz,3,86.61,2.11,0.63,1882,2,9,0,0
2021-08-10,Gece,3,74.43,1.88,0.66,1197,1,8,0,0
2021-08-11,Akşam,2,74.99,1.16,0.53,2037,2,8,0,0
2021-08-12,Akşam,2,78.2,1.32,0.68,1871,1,8,0,0
2021-08-13,Gündüz,4,75.37,2.17,0.65,2361,3,8,0,0
2021-08-14,Akşam,2,78.88,1.86,0.56,1541,1,9,0,0
2021-08-15,Akşam,2,77.36,2.23,0.61,1456,4,7,0,0
2021-08-16,Gece,3,80.44,2.14,0.66,1749,5,10,0,0
2021-08-17,Gece,4,85.04,1.45,0.56,2459,2,8,0,0
2021-08-18,Gece,2,80.36,2.06,0.57,1365,1,10,0,0
2021-08-19,Gece,2,80.81,1.97,0.62,1400,2,10,0,0
2021-08-20,Gündüz,4,74.71,1.21,0.59,1573,5,10,0,0
2021-08-21,Gece,5,79.33,1.39,0.63,1481,3,8,0,0
2021-08-22,Akşam,4,77.89,2.53,0.66,1109,5,8,0,0
2021-08-23,Gündüz,3,83.41,1.52,0.63,2018,3,11,0,0
2021-08-24,Akşam,5,76.18,1.92,0.62,1405,2,8,0,0
2021-08-25,Akşam,1,75.7,1.74,0.66,1308,3,8,0,0
2021-08-26,Akşam,4,81.59,1.86,0.61,1159,3,6,0,0
2021-08-27,Gece,3,89.9,1.76,0.58,1843,3,7,0,0
2021-08-28,Gece,5,79.12,2.09,0.68,1054,3,6,0,0
2021-08-29,Gündüz,4,80.84,2.08,0.5,1760,3,11,0,0
2021-08-30,Gündüz,2,84.74,1.84,0.62,1255,1,9,0,0
2021-08-31,Gece,4,82.55,1.53,0.6,1533,3,6,0,0
2021-09-01,Akşam,1,82.58,1.63,0.58,1421,3,6,0,0
2021-09-02,Gündüz,4,79.52,1.33,0.64,1945,5,6,0,0
2021-09-03,Gece,5,79.62,1.7,0.65,1961,5,7,0,0
2021-09-04,Gece,5,76.22,1.27,0.58,1812,5,10,0,0
2021-09-05,Gece,4,82.43,1.87,0.55,1886,3,9,0,0
2021-09-06,Akşam,5,82.32,1.89,0.56,1263,5,9,0,0
2021-09-07,Gece,2,83.59,2.1,0.72,1747,1,7,0,0
2021-09-08,Gece,4,77.56,1.43,0.72,1832,2,11,0,0
2021-09-09,Gece,2,84.15,1.45,0.63,1232,5,6,0,0
2021-09-10,Gece,2,85.67,2.26,0.56,1679,5,10,0,0
2021-09-11,Gündüz,3,73.93,1.39,0.62,1232,1,8,0,0
2021-09-12,Gündüz,4,78.52,2.42,0.52,2068,4,7,0,0
2021-09-13,Gece,5,85.88,1.52,0.64,1557,4,11,0,0
2021-09-14,Akşam,2,76.75,1.52,0.58,1912,1,10,0,0
2021-09-15,Gündüz,3,82.64,2.05,0.57,1680,5,11,0,0
2021-09-16,Gece,4,80.04,1.96,0.68,2459,2,7,0,0
2021-09-17,Gündüz,4,81.65,2.29,0.62,1334,5,7,0,0
2021-09-18,Gündüz,1,80.2,1.23,0.67,1403,1,8,0,0
2021-09-19,Akşam,1,83.73,1.96,0.69,2187,1,11,0,0
2021-09-20,Gece,2,74.89,1.79,0.63,1255,3,10,0,0
2021-09-21,Gece,1,75.43,1.48,0.63,2089,1,11,0,0
2021-09-22,Akşam,2,87.32,2.36,0.68,2019,3,11,0,0
2021-09-23,Akşam,5,90.5,1.87,0.61,1940,1,6,0,0
2021-09-24,Gece,2,79.97,1.78,0.69,1771,3,11,0,0
2021-09-25,Gece,1,88.58,1.94,0.53,1945,3,10,0,0
2021-09-26,Akşam,5,76.14,1.28,0.62,2111,5,10,0,0
2021-09-27,Gündüz,1,77.34,1.43,0.64,2263,3,6,0,0
2021-09-28,Gündüz,2,87.29,1.7,0.57,1310,4,8,0,0
2021-09-29,Akşam,3,84.02,1.89,0.65,1681,1,10,0,0
2021-09-30,Gündüz,4,88.03,2.18,0.64,2281,2,11,0,0
2021-10-01,Akşam,1,82.34,1.53,0.6,2457,1,11,0,0
2021-10-02,Gündüz,2,74.94,1.47,0.6,1128,5,6,0,0
2021-10-03,Gündüz,5,81.12,1.95,0.59,1780,5,7,0,0
2021-10-04,Gece,1,86.01,1.76,0.56,1325,3,7,0,0
2021-10-05,Gece,1,79.34,1.22,0.72,1789,5,6,0,0
2021-10-06,Gündüz,4,78.57,1.52,0.63,1016,5,7,0,0
2021-10-07,Gündüz,2,82.42,1.75,0.57,1698,1,10,0,0
2021-10-08,Gece,3,77.2,1.75,0.63,2008,4,6,0,0
2021-10-09,Gece,5,81.48,1.83,0.65,1341,4,11,0,0
2021-10-10,Gece,2,80.32,1.41,0.6,2002,3,10,0,0
2021-10-11,Akşam,5,77.55,1.76,0.62,1837,5,9,0,0
2021-10-12,Gündüz,1,84.9,2.08,0.71,1627,5,8,0,0
2021-10-13,Gece,4,83.23,0.93,0.58,1770,4,11,0,0
2021-10-14,Gündüz,4,78.23,1.72,0.61,1877,3,11,0,0
2021-10-15,Akşam,3,79.93,1.3,0.54,2272,5,8,0,1
2021-10-16,Akşam,4,78.64,1.79,0.74,1709,3,8,0,0
2021-10-17,Gece,1,76.81,1.35,0.68,1848,1,6,0,0
2021-10-18,Akşam,3,71.51,1.84,0.64,1738,5,9,0,0
2021-10-19,Gündüz,2,77.58,2.29,0.61,1176,5,8,0,0
2021-10-20,Gece,4,76.88,1.51,0.61,1945,5,10,0,0
2021-10-21,Gündüz,3,80.57,1.55,0.63,1356,4,11,0,1
2021-10-22,Gündüz,1,82.2,1.66,0.67,1494,4,8,0,0
2021-10-23,Akşam,5,75.99,1.9,0.59,1034,5,9,0,0
2021-10-24,Akşam,5,81.87,1.49,0.62,2430,5,10,0,0
2021-10-25,Akşam,1,75.22,1.69,0.69,1817,1,10,0,0
2021-10-26,Akşam,1,79.37,1.6,0.73,1009,1,6,0,0
2021-10-27,Akşam,5,76.99,1.66,0.68,1985,3,6,0,0
2021-10-28,Gece,3,83.73,1.9,0.62,1530,3,7,0,0
2021-10-29,Gündüz,5,80.58,1.97,0.64,1094,4,9,0,0
2021-10-30,Gündüz,1,79.45,1.36,0.67,1575,2,10,0,0
2021-10-31,Gündüz,4,76.87,1.9,0.64,1449,1,9,0,0
2021-11-01,Gündüz,2,78.36,2.74,0.69,2243,3,8,0,1
2021-11-02,Akşam,4,89.15,2.26,0.62,2017,1,11,0,0
2021-11-03,Gündüz,4,77.49,1.61,0.73,1095,1,8,0,0
2021-11-04,Gece,1,82.4,1.84,0.65,1864,2,11,0,0
2021-11-05,Gece,5,79.44,1.79,0.62,2404,1,7,0,0
2021-11-06,Gündüz,3,82.25,1.94,0.68,1668,2,10,0,0
2021-11-07,Gündüz,4,84.18,1.67,0.61,1206,2,11,0,0
2021-11-08,Gece,5,78.23,1.72,0.66,1849,1,10,0,0
2021-11-09,Gece,3,83.55,1.58,0.73,1245,1,11,0,0
2021-11-10,Akşam,4,93.78,2.13,0.6,1883,3,7,0,0
2021-11-11,Gece,3,82.84,1.89,0.72,1082,1,8,0,0
2021-11-12,Akşam,5,88.07,1.9,0.59,1316,1,10,0,0
2021-11-13,Akşam,2,82.41,2.17,0.7,1644,1,11,0,0
2021-11-14,Akşam,5,75.34,2.17,0.61,2128,3,9,0,1
2021-11-15,Akşam,1,81.38,2.11,0.72,1369,2,10,0,0
2021-11-16,Akşam,3,78.35,2.16,0.63,1748,3,11,0,0
2021-11-17,Gündüz,2,77.02,2.27,0.64,1629,1,11,0,0
2021-11-18,Gece,3,79.64,1.51,0.61,1179,5,8,0,0
2021-11-19,Akşam,3,79.23,1.71,0.54,1601,1,10,0,0
2021-11-20,Gece,4,74.7,2.01,0.6,1599,3,10,0,0
2021-11-21,Gece,1,93.54,1.53,0.58,2106,3,6,0,0
2021-11-22,Akşam,3,84.04,1.69,0.56,1840,4,11,0,0
2021-11-23,Gündüz,5,81.22,1.86,0.68,1347,5,10,0,0
2021-11-24,Akşam,5,80.45,1.73,0.74,2295,3,11,0,0
2021-11-25,Gündüz,4,86.01,1.82,0.75,1330,2,7,0,0
2021-11-26,Gece,1,90.38,1.46,0.61,1609,1,7,0,0
2021-11-27,Gündüz,1,83.43,1.79,0.66,1743,2,9,0,0
2021-11-28,Gündüz,5,80.61,1.84,0.72,1568,3,10,0,0
2021-11-29,Gündüz,2,87.36,2.28,0.6,1388,3,9,0,0
2021-11-30,Gece,4,80.71,1.72,0.73,1970,2,8,0,0
2021-12-01,Gece,4,82.18,1.6,0.73,1746,2,11,0,0
2021-12-02,Gündüz,5,85.01,2.01,0.57,1136,4,8,0,0
2021-12-03,Gündüz,5,78.07,0.85,0.55,2384,1,6,0,0
2021-12-04,Akşam,2,69.62,1.7,0.65,1281,2,6,0,0
2021-12-05,Gündüz,2,77.82,1.65,0.72,2225,1,10,0,0
2021-12-06,Akşam,1,83.87,1.88,0.59,2018,5,10,0,0
2021-12-07,Gündüz,4,83.51,2.17,0.57,1743,3,9,0,0
2021-12-08,Akşam,4,86.71,2.27,0.67,1530,2,9,0,0
2021-12-09,Gece,5,78.02,1.87,0.7,1015,5,10,0,0
2021-12-10,Gündüz,1,87.9,1.33,0.64,2004,3,10,0,0
2021-12-11,Gündüz,4,80.93,1.65,0.64,1567,4,6,0,0
2021-12-12,Gündüz,1,83.02,1.68,0.7,2137,3,6,0,1
2021-12-13,Gündüz,1,84.52,1.91,0.63,2091,2,6,0,0
2021-12-14,Akşam,5,73.09,1.82,0.63,1029,5,10,0,0
2021-12-15,Gündüz,1,74.98,1.59,0.69,1663,5,9,0,0
2021-12-16,Gece,2,74.81,1.42,0.69,1998,5,7,0,0
2021-12-17,Gece,2,85.36,1.54,0.66,1874,3,7,0,0
2021-12-18,Gündüz,3,78.47,1.53,0.75,1021,1,9,0,0
2021-12-19,Gece,5,90.14,2.29,0.71,2454,1,9,0,0
2021-12-20,Gündüz,3,80.02,1.57,0.66,2053,3,9,0,0
2021-12-21,Gündüz,2,72.64,1.82,0.61,1955,2,6,0,0
2021-12-22,Gece,3,76.64,2.09,0.73,1659,3,8,0,0
2021-12-23,Gündüz,5,80.59,1.86,0.73,2433,1,10,0,0
2021-12-24,Gece,5,82.58,1.47,0.67,2072,3,6,0,1
2021-12-25,Akşam,1,75.08,2.1,0.69,1324,5,7,0,0
2021-12-26,Gündüz,4,82.84,1.91,0.71,2321,2,10,0,0
2021-12-27,Akşam,1,84.18,1.14,0.76,1180,2,9,0,0
2021-12-28,Gece,5,76.8,2.17,0.72,1121,4,11,0,0
2021-12-29,Akşam,2,89.85,2.06,0.7,1123,3,7,0,0
2021-12-30,Akşam,2,77.34,1.9,0.73,2476,5,9,0,0
2021-12-31,Gece,1,75.0,2.29,0.74,1265,3,11,0,0
2022-01-01,Akşam,5,72.35,2.06,0.7,1027,4,9,0,0
2022-01-02,Akşam,2,86.1,2.14,0.73,2282,4,9,0,0
2022-01-03,Gece,5,80.11,2.11,0.65,1076,3,10,0,0
2022-01-04,Akşam,2,77.6,2.03,0.74,1431,3,7,0,0
2022-01-05,Gece,5,72.63,1.26,0.65,1878,3,7,0,0
2022-01-06,Akşam,3,78.05,1.3,0.63,1893,1,9,0,0
2022-01-07,Gece,5,91.91,2.06,0.68,2058,4,6,0,0
2022-01-08,Gece,5,69.28,2.17,0.62,1435,2,8,0,0
2022-01-09,Akşam,1,76.84,1.59,0.66,2137,1,11,0,0
